Birth Place,Birth_geo,Court Name (1),First Name,Last Name,Middle Name,School (1),School (2),School1_geo,School2_geo,article,color,current,current_geo,group_id,group_name,headline,most_recent_career_place,name,recent_career_geo
"Milan,Italy","(45.4667971, 9.1904984)",,Guido,Calabresi, ,Yale University,"University of Oxford, Magdalen College","(41.3163244, -72.92234309999999)","(51.7522849, -1.2470927)","Milan,Italy -> Yale University -> University of Oxford, Magdalen College-Woodbridge, Connecticut -> U.S. Court of Appeals for the Second Circuit",#FFEBEE,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1994-07-21,"Woodbridge, Connecticut",Guido   Calabresi,"(41.352597, -73.0084385)"
"Waltham,MA","(42.3756401, -71.2358004)",,Susan,Carney,Laura,Harvard University,Harvard Law School,"(42.3770029, -71.11666009999999)","(42.3780901, -71.1188478)","Waltham,MA -> Harvard University -> Harvard Law School-United States Court of Appeals for the Second Circuit -> U.S. Court of Appeals for the Second Circuit",#FFCDD2,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 2011-05-17,United States Court of Appeals for the Second Circuit,Susan Laura Carney,"(40.71364579999999, -74.0024232)"
"Hartford,CT","(41.7645491, -72.6908673)",,Peter,Hall,W.,University of North Carolina,University of North Carolina,"(35.9049122, -79.0469134)","(35.9049122, -79.0469134)","Hartford,CT -> University of North Carolina -> University of North Carolina-United States Court of Appeals for the Second Circuit -> U.S. Court of Appeals for the Second Circuit",#EF9A9A,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 2004-07-07,United States Court of Appeals for the Second Circuit,Peter W. Hall,"(40.71364579999999, -74.0024232)"
"New York,NY","(40.74123595, -73.356691165361)",,Dennis,Jacobs,G.,"Queens College, City University of New York",New York University,"(40.7357972, -73.8162904)","(40.72951339999999, -73.9964609)","New York,NY -> Queens College, City University of New York -> New York University-Judicial Conference of the United States -> U.S. Court of Appeals for the Second Circuit",#E57373,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1992-10-02,Judicial Conference of the United States,Dennis G. Jacobs,"(37.09024, -95.712891)"
"New York,NY","(40.74123595, -73.356691165361)",,Robert,Katzmann,A.,Columbia College,Harvard University,"(38.9578722, -92.32640789999999)","(42.3770029, -71.11666009999999)","New York,NY -> Columbia College -> Harvard University-Judicial Conference of the United States -> U.S. Court of Appeals for the Second Circuit",#EF5350,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1999-07-16,Judicial Conference of the United States,Robert A. Katzmann,"(37.09024, -95.712891)"
"Vauxhall,NJ","(40.693763, -74.2456566)",,Amalya,Kearse,Lyle,Wellesley College,University of Michigan Law School,"(42.2935733, -71.3059277)","(42.2737477, -83.7404695)","Vauxhall,NJ -> Wellesley College -> University of Michigan Law School-New York University Law School -> U.S. Court of Appeals for the Second Circuit",#F44336,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1979-06-21,New York University Law School,Amalya Lyle Kearse,"(40.730537, -73.999499)"
"Waycross,GA","(31.2135511, -82.3540178)",,Debra,Livingston,Ann,Princeton University,Harvard Law School,"(40.3439888, -74.6514481)","(42.3780901, -71.1188478)","Waycross,GA -> Princeton University -> Harvard Law School-United States Court of Appeals for the Second Circuit -> U.S. Court of Appeals for the Second Circuit",#E53935,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 2007-05-17,United States Court of Appeals for the Second Circuit,Debra Ann Livingston,"(40.71364579999999, -74.0024232)"
"Montreal,Canada","(45.4972159, -73.6103642)",,Raymond,Lohier,Joseph,Harvard College,New York University School of Law,"(42.3829839, -71.1262593)","(40.730537, -73.999499)","Montreal,Canada -> Harvard College -> New York University School of Law-Southern District of New York -> U.S. Court of Appeals for the Second Circuit",#D32F2F,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 2010-12-20,Southern District of New York,Raymond Joseph Lohier,"(40.7134214, -74.0009244)"
"Philadelphia,PA","(39.9524152, -75.1635755)",,Robert,Sack,David,University of Rochester,Columbia Law School,"(43.1305531, -77.6260033)","(40.8070804, -73.96028969999999)","Philadelphia,PA -> University of Rochester -> Columbia Law School-United States Court of Appeals for the Second Circuit -> U.S. Court of Appeals for the Second Circuit",#C62828,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1998-06-16,United States Court of Appeals for the Second Circuit,Robert David Sack,"(40.71364579999999, -74.0024232)"
"Brooklyn,NY","(40.6501038, -73.9495823)",,Chester,Straub,J.,St. Peter`s College,University of Virginia School of Law,"(40.7272231, -74.0715029)","(38.0530519, -78.50946549999999)","Brooklyn,NY -> St. Peter`s College -> University of Virginia School of Law-New York -> U.S. Court of Appeals for the Second Circuit",#B71C1C,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1998-06-03,New York,Chester J. Straub,"(40.7127753, -74.0059728)"
"Canandaigua,NY","(42.8844625, -77.278399)",,Richard,Wesley,C.,State University of New York at Albany,Cornell Law School,"(42.6265911, -73.7401458)","(42.443864, -76.48582680000001)","Canandaigua,NY -> State University of New York at Albany -> Cornell Law School-New York State Court of Appeals -> U.S. Court of Appeals for the Second Circuit",#FF8A80,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 2003-06-12,New York State Court of Appeals,Richard C. Wesley,"(42.6521693, -73.75406269999999)"
"Waterbury,CT","(41.5581525, -73.0514966)",,Ralph,Winter,K.,Yale University,Yale Law School,"(41.3163244, -72.92234309999999)","(41.31206, -72.92818199999999)","Waterbury,CT -> Yale University -> Yale Law School-Judicial Conference of the United States -> U.S. Court of Appeals for the Second Circuit",#FF5252,U.S. Court of Appeals for the Second Circuit,"(40.71364579999999, -74.0024232)",2,Second Circuit,Commission Date: 1981-12-10,Judicial Conference of the United States,Ralph K. Winter,"(37.09024, -95.712891)"
"San Sebastian,Spain","(43.3224219, -1.9838889)",U.S. Court of Appeals for the Ninth Circuit,,,,Stanford University,Stanford Law School,"(37.4274745, -122.169719)","(37.4238768, -122.1674405)","San Sebastian,Spain -> Stanford University -> Stanford Law School -> Superior Court of California, County of San Francisco -> U.S. Court of Appeals for the Ninth Circuit",#316650,,"(37.7799837, -122.4110413)",9,Ninth Circuit,Commission Date: 2003-10-01,"Superior Court of California, County of San Francisco",Carlos T. Bea,"(37.7804869, -122.4192507)"
"Cincinnati,OH","(39.1014537, -84.5124602)",U.S. Court of Appeals for the Ninth Circuit,,,,Radcliffe College,"University of California, Berkeley, Boalt Hall School of Law","(42.3760832, -71.1219483)","(37.869909, -122.252819)","Cincinnati,OH -> Radcliffe College -> University of California, Berkeley, Boalt Hall School of Law -> San Francisco, California -> U.S. Court of Appeals for the Ninth Circuit",#287233,,"(37.7799837, -122.4110413)",9,Ninth Circuit,Commission Date: 2000-03-16,"San Francisco, California",Marsha Siegel Berzon,"(37.7749295, -122.4194155)"
"Oakland,CA","(43.0317491, -80.3310713)",U.S. Court of Appeals for the Ninth Circuit,,,,Brigham Young University,"Brigham Young University, J. Reuben Clark Law School","(40.2518435, -111.6493156)","(40.249488, -111.645266)","Oakland,CA -> Brigham Young University -> Brigham Young University, J. Reuben Clark Law School -> Office of Legal Counsel, U.S. Department of Justice -> U.S. Court of Appeals for the Ninth Circuit",#2D572C,,"(37.7799837, -122.4110413)",9,Ninth Circuit,Commission Date: 2003-03-21,"Office of Legal Counsel, U.S. Department of Justice",Jay S. Bybee,"(37.09024, -95.712891)"
"Palo Alto,CA","(37.442156, -122.1634472)",U.S. Court of Appeals for the Ninth Circuit,,,,Stanford University,"University of the Pacific, McGeorge School of Law","(37.4274745, -122.169719)","(38.5492423, -121.4726698)","Palo Alto,CA -> Stanford University -> University of the Pacific, McGeorge School of Law -> California Court of Appeal, Third District -> U.S. Court of Appeals for the Ninth Circuit",#424632,,"(37.7799837, -122.4110413)",9,Ninth Circuit,Commission Date: 2003-05-28,"California Court of Appeal, Third District",Consuelo Maria Callahan,"(38.5765407, -121.4958904)"
"St. Paul,MN","(44.9504037, -93.1015026)",U.S. Court of Appeals for the Ninth Circuit,,,,Yale University,University of Minnesota Law School,"(41.3163244, -72.92234309999999)","(44.9730746, -93.2440579)","St. Paul,MN -> Yale University -> University of Minnesota Law School -> Makerere University, Kampala, Uganda -> U.S. Court of Appeals for the Ninth Circuit",#1F3A3D,,"(37.7799837, -122.4110413)",9,Ninth Circuit,Commission Date: 1980-05-23,"Makerere University, Kampala, Uganda",William Cameron Canby,"(0.329183, 32.5709881)"
"Chehalis,WA","(46.6599653, -122.9634322)",U.S. Court of Appeals for the Ninth Circuit,,,,University of Washington,Golden Gate University School of Law,"(47.65533509999999, -122.3035199)","(37.789294, -122.399053)","Chehalis,WA -> University of Washington -> Golden Gate University School of Law -> Alaska Supreme Court -> U.S. Court of Appeals for the Ninth Circuit",#2F4538,,"(37.7799837, -122.4110413)",9,Ninth Circuit,Commission Date: 2012-01-11,Alaska Supreme Court,Morgan   Christen,"(38.8906424, -77.0044398)"
